,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
30,15.8,15.8,15.4,17.8,17.0,16.3,15.8,17.8,17.8,17.0,16.3,16.3,15.8,15.8,15.8,17.0,17.0,16.3,16.3,15.8,16.3,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8
31,20.3,17.0,15.8,15.8,15.8,17.0,17.0,16.3,15.8,17.0,17.0,16.3,15.8,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,16.3,15.8,16.3,16.3,15.8,15.8,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8
32,61.6,31.3,22.1,17.8,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,15.8,17.0,16.3,16.3,16.3,15.8,16.3,15.8,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,15.8,15.8,16.3,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
33,36.3,22.1,17.8,16.3,15.8,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,15.8,17.0,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,16.3,15.8,15.8,15.8,16.3,16.3,15.8,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
34,20.3,17.8,16.3,16.3,16.3,16.3,16.3,17.0,17.0,16.3,16.3,16.3,17.0,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,15.8,15.8,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
35,31.3,20.3,17.8,15.8,18.9,17.8,17.0,16.3,17.0,16.3,17.0,17.0,15.8,17.0,17.0,17.0,16.3,16.3,16.3,16.3,15.8,17.0,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,16.3,16.3,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
36,36.3,24.5,18.9,17.0,15.8,17.8,17.0,17.0,16.3,17.0,15.8,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,15.8,17.0,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
37,15.8,15.4,20.3,17.8,17.0,15.8,17.8,17.0,16.3,16.3,17.0,16.3,17.0,17.0,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,15.8,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
38,17.0,16.3,15.4,20.3,17.8,17.0,17.0,17.0,16.3,16.3,17.8,17.0,17.0,16.3,16.3,15.8,17.0,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
39,14.0,24.5,20.3,17.0,17.0,15.8,17.0,16.3,17.8,17.0,17.0,16.3,16.3,16.3,16.3,16.3,15.8,17.0,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8
40,36.3,24.5,18.9,17.0,15.8,17.8,17.8,17.0,16.3,17.0,16.3,16.3,17.0,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
41,17.8,15.8,15.4,17.8,17.0,16.3,16.3,17.8,17.0,17.0,15.8,17.0,17.0,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
42,17.0,15.4,16.3,15.4,18.9,17.8,17.0,17.0,17.0,16.3,17.0,16.3,16.3,17.0,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
43,14.3,15.4,15.4,18.9,17.8,17.0,16.3,17.0,16.3,17.8,17.0,16.3,17.0,17.0,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,15.8,16.3,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8
44,14.3,15.8,15.8,17.0,15.8,17.8,17.8,17.0,17.0,16.3,17.0,17.0,16.3,15.8,17.0,17.0,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,15.8,16.3,16.3,15.8,15.8,16.3,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
45,15.8,14.8,20.3,17.0,17.0,16.3,16.3,17.0,17.0,17.0,16.3,17.0,16.3,16.3,15.8,17.0,17.0,16.3,16.3,16.3,15.8,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,16.3,15.8,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
46,27.5,20.3,17.0,16.3,17.0,15.8,17.8,17.0,17.8,17.0,17.0,17.0,16.3,17.0,17.0,16.3,16.3,16.3,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,15.8,16.3,15.8,16.3,15.8,16.3,16.3,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,16.3,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,16.3,15.8,15.8,16.3,16.3
47,230.4,115.5,61.6,31.3,27.5,22.1,22.1,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,16.3,16.3,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,15.8,16.3,15.8,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,15.8,16.3,15.8,16.3,16.3,15.8,16.3,16.3,15.8,15.8,16.3,16.3,16.3,15.8,16.3,16.3,15.8,15.8,16.3,15.8,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,15.8
